session_id,timestamp,round,player,hand_index,dealer_name,hand_cards_before,hand_total_before,is_soft,dealer_upcard,visible_cards,cards_remaining,decks_in_play,valid_actions,action_taken,basic_strategy_action,drinking_mode,mode,bet_amount,wager,is_npc,hand_result
,1781551335.7207775,1,Marko,1,Rob,J♣ 9♦,19,False,7♣,3♠ K♦ A♠ 5♦ J♣ 9♦ 8♠ 5♥ 7♣,42,1,"h,s,d",s,s,True,digital,,1,False,win
,1781551340.2391942,1,Marko,2,Rob,8♠ 5♥,13,False,7♣,3♠ K♦ A♠ 5♦ J♣ 9♦ 8♠ 5♥ 7♣,42,1,"h,s,d",s,h,True,digital,,1,False,win
,1781551342.481058,1,Rob,1,Rob,3♠ K♦,13,False,7♣,3♠ K♦ A♠ 5♦ J♣ 9♦ 8♠ 5♥ 7♣,42,1,"h,s,d",s,h,True,digital,,1,False,win
,1781551343.34918,1,Rob,2,Rob,A♠ 5♦,16,True,7♣,3♠ K♦ A♠ 5♦ J♣ 9♦ 8♠ 5♥ 7♣,42,1,"h,s,d",s,h,True,digital,,1,False,win
,1781551440.1524057,2,Rob,1,Marko,9♦ 3♦,12,False,6♥,9♦ 3♦ 8♣ 10♣ 8♦ 6♦ A♥ 10♥ 6♥,42,1,"h,s,d",h,s,True,digital,,1,False,loss
,1781551443.959145,2,Rob,2,Marko,8♣ 10♣,18,False,6♥,9♦ 3♦ J♠ 8♣ 10♣ 8♦ 6♦ A♥ 10♥ 6♥,41,1,"h,s,d",s,s,True,digital,,1,False,win
,1781551446.8327339,2,Marko,1,Marko,8♦ 6♦,14,False,6♥,9♦ 3♦ J♠ 8♣ 10♣ 8♦ 6♦ A♥ 10♥ 6♥,41,1,"h,s,d",s,s,True,digital,,1,False,win
,1781551878.116858,3,Rob,1,Marko,3♠ 2♥,5,False,2♠,3♠ 2♥ 4♥ J♦ A♣ J♣ 10♣ 3♦ 2♠,42,1,"h,s,d",h,h,True,digital,,1,False,loss
,1781551892.005237,3,Rob,1,Marko,3♠ 2♥ 10♦,15,False,2♠,3♠ 2♥ 10♦ 4♥ J♦ A♣ J♣ 10♣ 3♦ 2♠,41,1,"h,s",s,s,True,digital,,1,False,loss
,1781551892.572773,3,Rob,2,Marko,4♥ J♦,14,False,2♠,3♠ 2♥ 10♦ 4♥ J♦ A♣ J♣ 10♣ 3♦ 2♠,41,1,"h,s,d",h,s,True,digital,,1,False,loss
,1781551896.9512568,3,Marko,2,Marko,10♣ 3♦,13,False,2♠,3♠ 2♥ 10♦ 4♥ J♦ J♥ A♣ J♣ 10♣ 3♦ 2♠,40,1,"h,s,d",s,s,True,digital,,1,False,loss
,1781551950.6658597,4,Marko,1,Rob,6♦ Q♠,16,False,J♠,8♥ 8♦ 6♠ 7♦ 6♦ Q♠ 5♦ 3♣ J♠,42,1,"h,s,d",s,h,True,digital,,1,False,win
,1781551952.5068526,4,Marko,2,Rob,5♦ 3♣,8,False,J♠,8♥ 8♦ 6♠ 7♦ 6♦ Q♠ 5♦ 3♣ J♠,42,1,"h,s,d",h,h,True,digital,,1,False,win
,1781551955.1464775,4,Marko,2,Rob,5♦ 3♣ 10♥,18,False,J♠,8♥ 8♦ 6♠ 7♦ 6♦ Q♠ 5♦ 3♣ 10♥ J♠,41,1,"h,s",s,s,True,digital,,1,False,win
,1781551956.509172,4,Rob,1,Rob,8♥ 8♦,16,False,J♠,8♥ 8♦ 6♠ 7♦ 6♦ Q♠ 5♦ 3♣ 10♥ J♠,41,1,"h,s,d,sp",sp,sp,True,digital,,1,False,win
,1781551964.2130806,4,Rob,1,Rob,8♥ 7♣,15,False,J♠,8♥ 7♣ 8♦ 6♠ 7♦ 6♦ Q♠ 5♦ 3♣ 10♥ J♠,40,1,"h,s,d",h,h,True,digital,,1,False,win
,1781551965.5361779,4,Rob,1,Rob,8♥ 7♣ 4♥,19,False,J♠,8♥ 7♣ 4♥ 8♦ 6♠ 7♦ 6♦ Q♠ 5♦ 3♣ 10♥ J♠,39,1,"h,s",s,s,True,digital,,1,False,win
,1781551974.2848063,4,Rob,2,Rob,8♦ A♦,19,True,J♠,8♥ 7♣ 4♥ 8♦ A♦ 6♠ 7♦ 6♦ Q♠ 5♦ 3♣ 10♥ J♠,38,1,"h,s,d",s,s,True,digital,,1,False,win
,1781551976.8135533,4,Rob,3,Rob,6♠ 7♦,13,False,J♠,8♥ 7♣ 4♥ 8♦ A♦ 6♠ 7♦ 6♦ Q♠ 5♦ 3♣ 10♥ J♠,38,1,"h,s,d",s,h,True,digital,,1,False,win
,1781552048.2743177,5,Rob,1,Marko,5♥ J♠,15,False,K♠,5♥ J♠ 7♥ 9♦ 10♣ 7♠ 2♥ A♥ K♠,42,1,"h,s,d",s,h,True,digital,,1,False,loss
,1781552048.5112095,5,Rob,2,Marko,7♥ 9♦,16,False,K♠,5♥ J♠ 7♥ 9♦ 10♣ 7♠ 2♥ A♥ K♠,42,1,"h,s,d",s,h,True,digital,,1,False,loss
,1781552051.9523044,5,Marko,1,Marko,10♣ 7♠,17,False,K♠,5♥ J♠ 7♥ 9♦ 10♣ 7♠ 2♥ A♥ K♠,42,1,"h,s,d",s,s,True,digital,,1,False,loss
,1781552054.649395,5,Marko,2,Marko,2♥ A♥,13,True,K♠,5♥ J♠ 7♥ 9♦ 10♣ 7♠ 2♥ A♥ K♠,42,1,"h,s,d",d,h,True,digital,,1,False,loss
,1781552314.82501,6,Marko,1,Rob,6♥ 3♦,9,False,6♦,8♣ J♣ 5♦ A♦ 6♥ 3♦ J♠ K♦ 6♦,42,1,"h,s,d",d,d,True,digital,,1,False,push
,1781552329.7677054,6,Marko,2,Rob,J♠ K♦,20,False,6♦,8♣ J♣ 5♦ A♦ 6♥ 3♦ Q♦ J♠ K♦ 6♦,41,1,"h,s,d,sp",sp,sp,True,digital,,1,False,push
,1781552345.8923109,6,Marko,2,Rob,J♠ 9♥,19,False,6♦,8♣ J♣ 5♦ A♦ 6♥ 3♦ Q♦ J♠ 9♥ K♦ 6♦,40,1,"h,s,d",s,s,True,digital,,1,False,push
,1781552354.2691913,6,Marko,3,Rob,K♦ J♦,20,False,6♦,8♣ J♣ 5♦ A♦ 6♥ 3♦ Q♦ J♠ 9♥ K♦ J♦ 6♦,39,1,"h,s,d,sp",s,s,True,digital,,1,False,win
,1781552356.1788027,6,Rob,1,Rob,8♣ J♣,18,False,6♦,8♣ J♣ 5♦ A♦ 6♥ 3♦ Q♦ J♠ 9♥ K♦ J♦ 6♦,39,1,"h,s,d",s,s,True,digital,,1,False,loss
,1781552360.8395054,6,Rob,2,Rob,5♦ A♦,16,True,6♦,8♣ J♣ 5♦ A♦ 6♥ 3♦ Q♦ J♠ 9♥ K♦ J♦ 6♦,39,1,"h,s,d",s,d,True,digital,,1,False,loss
,1781552429.9105685,7,Marko,1,Rob,J♠ 2♠,12,False,5♠,6♥ K♠ 7♠ 4♦ J♠ 2♠ 3♣ Q♣ 5♠,42,1,"h,s,d",s,s,True,digital,,1,False,win
,1781552430.45389,7,Marko,2,Rob,3♣ Q♣,13,False,5♠,6♥ K♠ 7♠ 4♦ J♠ 2♠ 3♣ Q♣ 5♠,42,1,"h,s,d",s,s,True,digital,,1,False,win
,1781552431.826929,7,Rob,1,Rob,6♥ K♠,16,False,5♠,6♥ K♠ 7♠ 4♦ J♠ 2♠ 3♣ Q♣ 5♠,42,1,"h,s,d",s,s,True,digital,,1,False,win
,1781552432.5433502,7,Rob,2,Rob,7♠ 4♦,11,False,5♠,6♥ K♠ 7♠ 4♦ J♠ 2♠ 3♣ Q♣ 5♠,42,1,"h,s,d",d,d,True,digital,,1,False,win
,1781552478.350848,8,Rob,1,Marko,5♣ 7♣,12,False,J♥,5♣ 7♣ 10♦ 7♦ 2♥ 6♣ 9♠ 10♥ J♥,42,1,"h,s,d",h,h,True,digital,,1,False,loss
,1781552481.4980783,8,Rob,2,Marko,10♦ 7♦,17,False,J♥,5♣ 7♣ J♠ 10♦ 7♦ 2♥ 6♣ 9♠ 10♥ J♥,41,1,"h,s,d",s,s,True,digital,,1,False,push
